Token No,Issued Date,Issued Time,Kiosk,Waiting Time,Hour,Weekday,Week
P101,2025-02-01,1900-01-01 08:11:06,TKSC,0:02:52,8,Saturday,5
P102,2025-02-01,1900-01-01 08:17:18,TKSC,0:02:04,8,Saturday,5
P103,2025-02-01,1900-01-01 08:59:18,TKSC,0:00:06,8,Saturday,5
P104,2025-02-01,1900-01-01 09:13:31,TKSC,0:00:03,9,Saturday,5
P105,2025-02-01,1900-01-01 09:24:59,TKSC,0:03:17,9,Saturday,5
P106,2025-02-01,1900-01-01 09:26:36,TKSC,0:06:45,9,Saturday,5
P107,2025-02-01,1900-01-01 09:30:32,TKSC,0:07:28,9,Saturday,5
P108,2025-02-01,1900-01-01 09:35:13,TKSC,0:09:40,9,Saturday,5
P109,2025-02-01,1900-01-01 09:48:13,TKSC,0:00:54,9,Saturday,5
P110,2025-02-01,1900-01-01 09:53:53,TKSC,0:00:17,9,Saturday,5
P111,2025-02-01,1900-01-01 10:08:04,TKSC,0:00:16,10,Saturday,5
P112,2025-02-01,1900-01-01 10:13:39,TKSC,0:03:43,10,Saturday,5
P113,2025-02-01,1900-01-01 10:21:18,TKSC,0:06:15,10,Saturday,5
P114,2025-02-01,1900-01-01 10:23:01,TKSC,0:07:35,10,Saturday,5
P115,2025-02-01,1900-01-01 10:27:52,TKSC,0:08:19,10,Saturday,5
P116,2025-02-01,1900-01-01 10:29:10,TKSC,0:11:03,10,Saturday,5
P117,2025-02-01,1900-01-01 10:30:16,TKSC,0:17:03,10,Saturday,5
P118,2025-02-01,1900-01-01 10:33:36,TKSC,0:16:39,10,Saturday,5
P119,2025-02-01,1900-01-01 10:38:03,TKSC,0:16:19,10,Saturday,5
P120,2025-02-01,1900-01-01 10:42:28,TKSC,0:16:35,10,Saturday,5
P121,2025-02-01,1900-01-01 10:48:13,TKSC,0:14:21,10,Saturday,5
P122,2025-02-01,1900-01-01 10:48:47,TKSC,0:16:59,10,Saturday,5
P123,2025-02-01,1900-01-01 10:50:26,TKSC,0:18:50,10,Saturday,5
P124,2025-02-01,1900-01-01 10:52:49,TKSC,0:19:16,10,Saturday,5
P125,2025-02-01,1900-01-01 10:53:56,TKSC,0:24:52,10,Saturday,5
P126,2025-02-01,1900-01-01 10:54:16,TKSC,0:27:37,10,Saturday,5
P127,2025-02-01,1900-01-01 10:58:39,TKSC,0:24:00,10,Saturday,5
P128,2025-02-01,1900-01-01 11:01:13,TKSC,0:28:46,11,Saturday,5
P129,2025-02-01,1900-01-01 11:07:00,TKSC,0:27:07,11,Saturday,5
P130,2025-02-01,1900-01-01 11:30:59,TKSC,0:07:51,11,Saturday,5
P131,2025-02-01,1900-01-01 11:47:43,TKSC,0:00:12,11,Saturday,5
P132,2025-02-01,1900-01-01 11:50:29,TKSC,0:00:56,11,Saturday,5
P133,2025-02-01,1900-01-01 11:54:48,TKSC,0:04:55,11,Saturday,5
P134,2025-02-01,1900-01-01 11:57:04,TKSC,0:05:58,11,Saturday,5
P135,2025-02-01,1900-01-01 11:58:05,TKSC,0:08:54,11,Saturday,5
P136,2025-02-01,1900-01-01 12:01:37,TKSC,0:08:23,12,Saturday,5
P137,2025-02-01,1900-01-01 12:06:21,TKSC,0:07:04,12,Saturday,5
P138,2025-02-01,1900-01-01 12:27:52,TKSC,0:00:27,12,Saturday,5
P139,2025-02-01,1900-01-01 12:43:47,TKSC,0:19:24,12,Saturday,5
P140,2025-02-01,1900-01-01 12:51:53,TKSC,0:18:51,12,Saturday,5
P141,2025-02-01,1900-01-01 12:54:38,TKSC,0:18:46,12,Saturday,5
P142,2025-02-01,1900-01-01 12:55:52,TKSC,0:20:15,12,Saturday,5
P143,2025-02-01,1900-01-01 12:56:17,TKSC,0:21:35,12,Saturday,5
P144,2025-02-01,1900-01-01 13:06:34,TKSC,0:14:20,13,Saturday,5
P145,2025-02-01,1900-01-01 13:14:53,TKSC,0:08:45,13,Saturday,5
P146,2025-02-01,1900-01-01 13:18:33,TKSC,0:07:38,13,Saturday,5
P147,2025-02-01,1900-01-01 13:21:23,TKSC,0:10:00,13,Saturday,5
P148,2025-02-01,1900-01-01 13:28:25,TKSC,0:03:35,13,Saturday,5
P149,2025-02-01,1900-01-01 13:29:04,TKSC,0:06:41,13,Saturday,5
P150,2025-02-01,1900-01-01 13:40:04,TKSC,0:01:20,13,Saturday,5
P151,2025-02-01,1900-01-01 13:46:05,TKSC,0:00:07,13,Saturday,5
P152,2025-02-01,1900-01-01 13:48:54,TKSC,0:00:22,13,Saturday,5
P153,2025-02-01,1900-01-01 13:50:59,TKSC,0:01:08,13,Saturday,5
P154,2025-02-01,1900-01-01 13:57:57,TKSC,0:04:14,13,Saturday,5
